turkish,english
Sonra yavaş yavaş eve doğru yürüdü.,Then he slowly plodded toward the house.
"Az zamanda içki gibi, kumar gibi, kadına düşkünlük gibi zaman öldürecek ve z^hi uyuşturacak kötülüklere meyil değil, kendisini tamamen verdi.","He soon submitted to the evils like drinking, gambling, fondness for women, and other things that would numb his mind."
Jozef,Joseph
"Bu zamanı yakalayamayanların, yakalayamayacakların, o bir türlü anlatılamamış, bir yerde yitip gitmiş tarihleri, bize o gecelerde kolay kolay kapanamayacak bir yara olarak dönmezdi öyle yoksa... Jülyet ile Nora’nın, tüm bunları aklıma getirdiğimde, birbirlerinin yalnızlığına girmeyi göze aldıklarını düşünmek geliyor öncelikle içimden.","Otherwise, the history of those who had failed and would fail to catch time by the hands, the history of those that has not been told and that has slipped through one’s fingers would not come back to us as a gaping wound during those nights. All things considered, I cannot help feeling that Juliet and Nora had had the courage to enter each other’s solitude."
"Bir keresinde, iyice canımı yaktıktan sonra, bana acıdığını gördüm. İnsanın kendisiyle hiç mi hiç eşit görmediği birine duyduğu tiksintiyle karışık kötü bir duyguydu bu; öyle olduğunu artık bana nefret etmeden bakabilmesinden de anlıyordum.","Once, after he had hurt me very badly, I saw that he felt pity for me, but this was a malignant sentiment mixed with the repugnance felt for a person one doesn’t consider in any way equal: I sensed this also in the way he was finally able to look at me without hatred."
"diye ekledi biri, sonra herkes gülüştü.","someone added, and then everybody laughed."
Söylemeseler bile ben bulabilirdim.,"And if not—well, I’d come up with something all the same."
"Mutlu edebilecek misin onu?""",Will you be able to make her happy?”
"Bu yasaklamaların kimi insanları nerelere götürdüğünü, hangi sürgünlere zorladığını biliyordu.","He knew where the said prejudices took one, to places of exile."
"Hiç olmazsa zevkini başka yerde aramaya muhtaç kalmaz"" dedi.","At least, he will not have to search for pleasure somewhere else.”"
"Bu küçük ‘cinsellik oyunu’, farklı sözcüklerle, doğaçlanarak yazılan sahneleriyle birçok kez yaşanmıştı o evde...",This short ‘sex play’ was enacted in that house on many an occasion in improvised versions.
"Evinde toplantılar tertiplemiş, kardeşini davet edildikleri her yere sürüklemiş, Dışişleri'nde çalışan bütün bekâr erkeklere tanıştırmıştı.",She organized parties at home and took Selva along whenever they were invited out. Through Macit she introduced Selva to every eligible bachelor in the Foreign Office.
"Sözü fazla dolaştırmamış ustası, çok açık ve kesin bir ifadeyle atelyeye bir daha gelmemesini söylemiş, ‘Tek kolla bu işi yapamazsın, kendine yeni bir yol çizmelisin’ demiş.","The master did not mince his words; he told him bluntly not to come to the workshop anymore. “With a single arm you can no longer do your job, you’ve got to find another occupation for yourself,” he said."
"Aslında, belimin güzelliğine, bacaklarımın uzunluğuna, duruşumdaki gurura dikkat edenler benim farklı olduğumu anlarlar Ama bu güzellikler benim bir at olarak farklılığıma değil, beni resmeden nakkaşın hünerindeki farklılığa işaret eder.","Actually, those of you who pay particular attention to the grace of my midsection, the length of my legs and the pride of my bearing will understand that I am indeed unique. But these excellent features point to the uniqueness of the miniaturist who illustrated me, not to my uniqueness as a horse."
"Ama, doğrusunu söylemek gerekirse, bu adımında da tek başına değildi.",To tell you the truth he had not been alone in venturing to take this risk.
"""Sen bu işe taktın kafanı,"" dedi.","“You’re really obsessed with this idea,” he said."
"Bir daha hiç göremeyeceğim kızıma, bu kanlı çirkin gövdemi bu sefil vaziyette bırakıyor olmak bir an utandırdı beni.","For a moment I was embarrassed at having to leave my bloodied and ugly body in this miserable condition for my daughter, whom I’d never see again."
Nihayet bugün ilk defa Adsız Alkolikler toplantısına katılmış ve içmeyi bırakacağına dair söz vermişti.,Finally today he had attended a meeting of Alcoholics Anonymous and pledged to stop imbibing.
Tüfeği açılsın diye toprağa soktular. Tabancayla ateşi sürdürdü.,He buried it in the earth to cool it and continued firing with his pistol.
"Ama yaşananlar, insanı, kötülük, iyilik kavramlarının anlamını yeniden gözden geçirmeye de zorluyordu.","However, the incidents forced people to revise their concepts of good and evil once more."
Sonra birdenbire sözü değiştirdi:,Then she quickly changed the subject.
Çayından bir yudum alınca yüzünü buruşturup şeker aramaya başladı.,"She took a sip ofthe tea, only to make a face and search for sugar."
"İyi biliyordu ki, değildi.",He knew quite well that it didn’t.
"Abisini, bunları öğrendikten sonra daha çok sevmişti.",Her elder brother had gained her affections even more so after she was informed of this fact.
Mesele şimdi bu kompleksin neticelerinden kurtulmanızda.,The question now is how to free yourself of the consequences of this complex.
"Daha sonra, bir minderin iki köşesine, kucaklarında birbirlerinin kitapları, birlikte oturup, Abdullah Han'ın efsanelerinden tanıdıkları, birbirlerinin resimlerine bakarlarken ikisi de hayal kırıklığına uğramışlar.","Later still, sitting upon either edge of a large cushion, holding each other’s books on their laps and looking at the pictures that they recognized from Abdullah Khan’s fables, both the miniaturists were overcome with great disappointment because the illustrations they saw weren’t nearly as spectacular as those they’d anticipated from the stories they’d heard, but instead appeared, much like all the pictures they’d seen in recent years, rather ordinary, pale and hazy."
(Bunu da söylemedim Kara'ya.),(I didn’t tell Black this.)
"Hepsi uzviyetini, sinirlerini ayrı hadlerde çıldırtarak zaptederlerdi.","Each of them subdued him, agitating his person and his nerves to different degrees."
"Bir gün içinde uğradığı zayıflık gibi, bir iki saat önceki baygınlığı gibi Bey'in zaten dikkatinden kurtulmamış olan sevgi kanıtlarını teşvik edici bir edayla ayrıntılı olarak anımsattıktan sonra ""Tabiatına uygun gelmediyse başkasını arar bulurum, fakat zavallı kızcağıza yazık"" dedi ve göz ucuyla yüzünde oluşan duruma dikkat ederek anlamaya çalıştı.","Having paid attention to her weakness during the day and the faintness a few hours ago, Ali Bey saw the signs of her love. Confirming these signs, she reminded Ali Bey in detail and said: “If it does not fit your nature, I may find another one; however, what a pity for the girl!” and tried to understand what he was thinking by concentrating on his face."
"Gariptir ki, geçmiş günlerden tamamen ayrıldığım bu günlerde onun yüzü beni geçmiş günlere götürdü.","So that at the very moment when I felt completely torn away from my past she, by her presence, brought it back again."
Doğdum doğalı herkes bana dürbünün ters tarafından bakmayı teklif ediyordu.,"Since I was born, people have taught me to look through the wrong end of the telescope."
Fakat Halit Ayarcı benim hesaplarımı nereden bilecekti:,But how could Halit Ayarci have known what I was thinking at the time?
"Bir insan bütün hakikatleri bilmez, bilemez…","No man can be omniscient, it’s simply not possible.”"
Cehennem'in en dibinde yanacaksınız.,You’re going to burn in the pits of Hell.
İtikadımca belediye reisinin bu işte hakkı vardı.,In my opinion the mayor was right.
"Duymak mı istiyorsun, sürpriz mi olsun?""",Do you want me to tell you or should it be a surprise?”
Karım içinde büyüdüğü bu evi bütün psikolojik derinliğiyle benimsemişti.,She carried inside her all the psychological traumas of the house that had been her home since childhood.
"""Annem haklı.","""Mama is right."
"Bir on dakika kadar uğraştıktan sonra Dilaşub gözlerini açtı. D^^munu ve han^^nin cariye gibi çevresinde dotaştı-ğini görünce bir yandan sevgisinin sirlarını böyle bir tahammülsüzlükle meydana attığını, bir yandan da efendisinin kendisini bayağı hizmetinde bulunacak kadar sevdiğini düşündü.","Opening her eyes after ten minutes of trying, when she saw her situation and Fatma Hanim walking around her like an odalisque, she thought that on the one hand she revealed the secrets of her love impatiently and on the other hand her master loved a woman in his daily service like her."
"""Bugün radyolan iyi dinlediniz mi?"" diye sordu birden, karşısındakilere.","Suddenly, he asked, “Have you listened to the radio today?”"
"Bu bina, Ankara’nın kuzeyinde bir sürü sırtlardan birinin tepesinde yapılmış bir taş binaydı.","On the northern side of Angora, six kilometers away, is a low hill among other hills which rise one above the other. On it is a big strong stone building."
- Hâlâ bilmiyor musunuz?,“How can you still not know?
"""Yaşım geçmek üzere efendim. ""","“I’ll soon be too old, sir.”"
Kuzu ve baklava yapıldı.,Lamb and baklava was prepared.
"Sonraki nesilde Levent Kazancı elli birinci yaşgününü göremeden kalp krizinden rahmetli olmuş, babasıyla dedesinin izinden gitmişti.","Then in the next generation, Levent Kazanci had died of a heart attack before he had reached his fifty-first birthday, following the patterns of his father and his father's father."
"""Sandığınız gibi bir katil olsaydım,"" dedim aptalca bir gururla. ""Gizli hazinemden bunlar değil, o son resim çıkardı.""","“If I were truly a murderer as you suspect,” I said with stupid pride, “the final picture would’ve emerged from my secret treasury, not these things.”"
"""Peki o işi neden bıraktınız?""","""Then why did you quit that job?"""
"Genç şehzadelerden birinin odasından gelen Zafername cildinin sayfalarında, Zigetvar Kuşatması sırasında ölen Kanuni Sultan Süleyman'ın cenaze törenini gösterir iki sayfalık resimde, cenaze arabasını çeken alnı akıtmalı doru atla ceylan gözlü kır ata ve Sultan Süleyman'ın cenazesi için altın işlemeli eğerleri takılmış, harika eğer örtüleri örtülmüş kederli atlara baktık ilk.","In a double-leaf illustration from a Book of Victories found in the quarters of a young prince, which showed the funeral ceremonies of Sultan Süleyman the Magnificent who’d died during the siege of Szegetvar, we first examined the chestnut horse with a white blaze, the gazelle-eyed gray pulling the funeral carriage and the other melancholy horses fitted with spectacular saddle blankets and gold embroidered saddles."
"""Abim Ecla'yla tanıştıktan sonra, hiç vakit kaybetti mi?""",“Did Nusret waste any time after he met Ecla?”
Bu duyguların bazı ilişkilerde çok ince sınırlarla birbirlerinden ayrıldığını düşünmüş müydü o günlerde Berti?,Had Berti pondered the fact that certain sentiments in certain relationships had barely perceptible boundaries?
